ticker,sector,model,intercept,coef_1,coef_2,coef_3,coef_4
GM,GICS_25,FF3,-0.016008,1.242627,0.236018,0.692377,
Z,GICS_25,FF3,0.016994,1.515319,-0.273333,1.666541,
TRY,GICS_25,FF3,-0.005123,0.720378,0.446297,0.739479,
F,GICS_25,FF3,-0.004379,1.540434,0.101406,0.891236,
DG,GICS_25,FF3,0.008687,0.671944,0.099107,-0.125219,
WH,GICS_25,FF3,-0.023242,1.131872,0.293874,0.548059,
MAT,GICS_25,FF3,0.001399,0.765437,0.225675,0.86072,
TJX,GICS_25,FF3,0.011547,0.766186,-0.297017,0.30292,
DOL,GICS_25,FF3,0.003587,0.781158,-0.164842,0.485975,
H,GICS_25,FF3,0.002301,1.169277,0.211718,0.645133,
MCD,GICS_25,FF3,0.006552,0.69166,-0.562,0.169303,
VFC,GICS_25,FF3,0.008487,0.886967,-0.084067,0.568192,
TGT,GICS_25,FF3,0.004886,0.901116,-0.234946,0.384037,
HRB,GICS_25,FF3,0.002873,0.504193,0.220252,0.398867,
SNE,GICS_25,FF3,-0.00416,1.184363,0.439144,-0.158609,
PIR,GICS_25,FF3,-0.002454,2.452044,2.067806,2.938576,
HAS,GICS_25,FF3,0.005026,0.896916,0.056901,0.222908,
NKE,GICS_25,FF3,0.01192,0.825621,-0.617304,0.375749,
GPS,GICS_25,FF3,-0.003565,1.234845,0.37528,0.426606,
HMC,GICS_25,FF3,-0.00046,0.741226,0.025027,0.334191,
LOW,GICS_25,FF3,0.006318,1.070476,0.098551,0.321454,
WEN,GICS_25,FF3,0.008106,0.821404,-0.177869,0.437836,
HD,GICS_25,FF3,0.002678,0.998221,0.030963,0.179395,
HDI,GICS_25,FF3,0.010555,1.037478,-0.135434,0.01779,
CCL,GICS_25,FF3,-0.004524,1.282508,0.093478,1.016053,
LE,GICS_25,FF3,0.012872,2.23512,0.403698,1.870904,
AZO,GICS_25,FF3,0.01284,0.52388,-0.104286,0.285175,
TM,GICS_25,FF3,2.4e-05,0.692822,-0.127906,0.217672,
FD,GICS_25,FF3,0.0023,1.396752,-0.004406,0.523046,
BBBY,GICS_25,FF3,-0.001618,1.172295,0.311439,0.796681,
SBUX,GICS_25,FF3,0.011912,0.783773,0.421077,0.201244,
CAKE,GICS_25,FF3,0.002128,1.198901,0.337431,0.650292,
ORLY,GICS_25,FF3,0.013105,0.704679,0.062328,0.159372,
PZZA,GICS_25,FF3,0.009719,0.622728,-0.059731,0.061966,
BWA,GICS_25,FF3,0.004569,1.343147,0.028023,0.554676,
URBN,GICS_25,FF3,0.008081,1.097188,0.413067,1.029433,
AEOS,GICS_25,FF3,0.031103,2.415637,-0.764272,0.259327,
DOM,GICS_25,FF3,-0.003911,0.356235,0.265621,0.203496,
DLTR,GICS_25,FF3,0.008285,0.809974,-0.10475,-0.040699,
WSM,GICS_25,FF3,0.003654,1.354569,0.62597,0.561184,
ANF,GICS_25,FF3,0.001546,1.56936,0.146997,0.300362,
HIBB,GICS_25,FF3,0.00929,1.094378,0.648865,0.510797,
KMX,GICS_25,FF3,0.017323,1.523068,0.146728,0.463395,
AMZN,GICS_25,FF3,0.015481,1.582871,-0.273521,-1.306242,
YUM,GICS_25,FF3,0.009394,0.778427,-0.054823,0.228538,
MAR,GICS_25,FF3,0.003937,1.337986,0.092996,0.762202,
BBY,GICS_25,FF3,0.006435,1.615786,0.221464,-0.268765,
PPE,GICS_25,FF3,-0.017151,1.161017,0.690738,1.187345,
LOOK,GICS_25,FF3,-0.004875,1.481047,0.899141,-1.551222,
DW,GICS_25,FF3,0.011377,1.18986,0.842436,1.070503,
AKRN,GICS_35,CAPM,0.040123,2.303018,,,
RGEN,GICS_35,CAPM,0.024909,1.276031,,,
AVAN,GICS_35,CAPM,0.024527,2.297087,,,
ADPT,GICS_35,CAPM,-0.013718,1.366659,,,
AVM,GICS_35,CAPM,0.049809,0.888953,,,
KOOL,GICS_35,CAPM,-0.008535,1.156245,,,
CELG,GICS_35,CAPM,0.019738,0.883618,,,
LH,GICS_35,CAPM,0.011479,0.53013,,,
AMGN,GICS_35,CAPM,0.004232,0.612367,,,
SNSTA,GICS_35,CAPM,0.0235,0.558493,,,
CVS,GICS_35,CAPM,0.003861,0.681543,,,
BMY,GICS_35,CAPM,0.001562,0.537192,,,
ABT,GICS_35,CAPM,0.007504,0.433801,,,
CAH,GICS_35,CAPM,0.002632,0.64241,,,
PFE,GICS_35,CAPM,0.000731,0.581584,,,
JNJ,GICS_35,CAPM,0.004446,0.433944,,,
MRK,GICS_35,CAPM,0.002567,0.436213,,,
CHRS,GICS_35,CAPM,0.013812,2.027581,,,
BAX,GICS_35,CAPM,0.005925,0.5299,,,
ELN,GICS_35,CAPM,0.016848,1.290776,,,
BDX,GICS_35,CAPM,0.007592,0.571552,,,
HCSG,GICS_35,CAPM,0.014702,0.273465,,,
DHR,GICS_35,CAPM,0.008976,0.814147,,,
LLY,GICS_35,CAPM,0.005051,0.421398,,,
AFL,GICS_35,CAPM,0.003772,1.023536,,,
MDT,GICS_35,CAPM,0.002908,0.653638,,,
WST,GICS_35,CAPM,0.012708,0.780322,,,
COO,GICS_35,CAPM,0.012308,0.601323,,,
STAA,GICS_35,CAPM,0.019395,1.393319,,,
ABMD,GICS_35,CAPM,0.017607,1.190703,,,
AGN,GICS_35,CAPM,0.006695,0.697124,,,
IMGN,GICS_35,CAPM,0.012646,1.91054,,,
QDEL,GICS_35,CAPM,0.017596,0.906972,,,
REGN,GICS_35,CAPM,0.02809,1.293473,,,
ISIP,GICS_35,CAPM,0.088032,2.012565,,,
