ticker,sector,model,intercept,coef_1,coef_2,coef_3,coef_4
RGEN,GICS_35,CAPM,0.014713559865317654,1.1121700464442106,,,
ADPT,GICS_35,CAPM,-0.03270811263425856,1.2263770591186307,,,
KOOL,GICS_35,CAPM,-0.025337957131056032,1.18965858951563,,,
CELG,GICS_35,CAPM,0.002310589205709056,1.2170333150804318,,,
LH,GICS_35,CAPM,-0.0015596123857309118,0.922159077004205,,,
AMGN,GICS_35,CAPM,0.00488364044493372,0.621446138884929,,,
SNSTA,GICS_35,CAPM,0.04059188257339786,0.6175788207032156,,,
CVS,GICS_35,CAPM,-0.0029377277738356676,0.7634059852733344,,,
BMY,GICS_35,CAPM,0.003422569827109771,0.4683136096509751,,,
ABT,GICS_35,CAPM,0.002566879673955943,0.7407252976754652,,,
CAH,GICS_35,CAPM,0.002891359291217439,0.7266157963089692,,,
PFE,GICS_35,CAPM,-8.950407668564375e-05,0.5986967472488901,,,
JNJ,GICS_35,CAPM,0.0013545467870822764,0.5178776535209084,,,
MRK,GICS_35,CAPM,0.0051326714866845365,0.362373104483626,,,
CHRS,GICS_35,CAPM,-0.011177540036633498,1.4867109903622011,,,
BAX,GICS_35,CAPM,-0.0048691572252444176,0.6616295093362329,,,
ELN,GICS_35,CAPM,0.014649737299939049,1.0342105408993783,,,
BDX,GICS_35,CAPM,0.0008963727919008357,0.6396231616642116,,,
HCSG,GICS_35,CAPM,-0.003744875662222027,0.6754756769666137,,,
DHR,GICS_35,CAPM,0.0035052509536102365,0.9106667011563656,,,
LLY,GICS_35,CAPM,0.017011800313326202,0.3311958222127642,,,
AFL,GICS_35,CAPM,0.0007004382613350013,1.0113977117999102,,,
MDT,GICS_35,CAPM,-0.002641485258433569,0.7984859081326079,,,
WST,GICS_35,CAPM,0.007623127318095862,0.9769637426969879,,,
COO,GICS_35,CAPM,0.0063608998376873446,0.7168905495568753,,,
STAA,GICS_35,CAPM,0.014656735105329074,0.9767372961054992,,,
ABMD,GICS_35,CAPM,0.019518167927831606,1.2992797983472184,,,
AGN,GICS_35,CAPM,0.0011220743654552032,0.9192133974217761,,,
IMGN,GICS_35,CAPM,0.013656625918330948,1.6259222585641648,,,
QDEL,GICS_35,CAPM,0.008370186207454116,0.5487363937620251,,,
REGN,GICS_35,CAPM,0.017627921012014682,0.553539852998312,,,
IDXX,GICS_35,CAPM,0.006180135470788703,1.0661317411940838,,,
ALKS,GICS_35,CAPM,0.0026335729276153975,0.9426526920341859,,,
VRTX,GICS_35,CAPM,0.010307308217319709,0.5832179929477699,,,
PRGO,GICS_35,CAPM,-0.005554746558000448,0.6722331052485226,,,
GILD,GICS_35,CAPM,0.00612337950498593,0.5094257005736762,,,
SCLN,GICS_35,CAPM,0.004732073498275924,1.9034108057654586,,,
RARE,GICS_35,CAPM,-4.4979658631242106e-05,1.1927537914815944,,,
WPI,GICS_35,CAPM,0.02120471213189533,0.1809060793031449,,,
AZN,GICS_35,CAPM,0.00500238391267529,0.44918688628755055,,,
INCY,GICS_35,CAPM,0.00699911628308916,0.8754278022551629,,,
RMD,GICS_35,CAPM,0.007810423383593306,0.6608870519060229,,,
MYGN,GICS_35,CAPM,-0.009952132533663848,1.3874232155460173,,,
IPXL,GICS_35,CAPM,-0.0012700659809919655,0.988615831668789,,,
NBIX,GICS_35,CAPM,0.024041676675283948,0.473192480487455,,,
CERS,GICS_35,CAPM,-0.007485218302153164,1.539282931045349,,,
EPIX,GICS_35,CAPM,-0.02286720687127843,1.6811071436187297,,,
CTIC,GICS_35,CAPM,-0.006131114484676542,0.8094455574404975,,,
AVII,GICS_35,CAPM,-0.018275011710748672,0.6410946667138495,,,
ADSK,GICS_35,CAPM,0.000154126282880694,1.62056234328131,,,
SHPGY,GICS_35,CAPM,0.009638676129431083,0.5678362380571446,,,
HCM,GICS_35,CAPM,0.0017880109508661031,0.8084820693740998,,,
ICPT,GICS_35,CAPM,0.030276244086297904,0.5291662845297846,,,
CNC,GICS_35,CAPM,0.008925780883634167,0.7167263559818515,,,
UTHR,GICS_35,CAPM,0.005430372083616838,0.8188651829479223,,,
BMRN,GICS_35,CAPM,0.002911272262226725,0.7050724373444481,,,
A,GICS_35,CAPM,-0.0009329776711479013,1.2360835025550783,,,
UNH,GICS_35,CAPM,0.011313738184121,0.5841901080303663,,,
HCA,GICS_35,CAPM,0.004191421961274308,1.3833335328543785,,,
EXEL,GICS_35,CAPM,0.008345720620363324,1.3024168668022664,,,
NVS,GICS_35,CAPM,0.0020155641916917563,0.5188411494374005,,,
CRL,GICS_35,CAPM,-0.0008510685945860305,1.22328940295851,,,
INSM,GICS_35,CAPM,0.016275409190352957,1.4392569071514258,,,
ARNA,GICS_35,CAPM,0.026852520503690473,0.392409103401973,,,
ILMN,GICS_35,CAPM,0.003318733247203864,1.0374505475415488,,,
PTIE,GICS_35,CAPM,-0.011416585725477544,1.5021705248822241,,,
ESPR,GICS_35,CAPM,0.0015560480856882967,1.367104055173146,,,
OSUR,GICS_35,CAPM,0.0021675582726143373,0.7476181369627477,,,
PPHM,GICS_35,CAPM,-0.002332400268080629,1.703806178654774,,,
GSK,GICS_35,CAPM,-0.002988996832302916,0.5859556475646528,,,
RIGL,GICS_35,CAPM,-0.007247303567322905,1.329607050043347,,,
FLML,GICS_35,CAPM,0.0012140074897495994,1.1613316173075892,,,
ALGN,GICS_35,CAPM,0.0017371777614158075,1.802364111130695,,,
EXAS,GICS_35,CAPM,0.014052640533158443,1.329154536739583,,,
SGEN,GICS_35,CAPM,0.015387042286063236,0.8871721202157906,,,
ZMH,GICS_35,CAPM,0.0010475974233280082,0.8930026600460502,,,
ONCY,GICS_35,CAPM,-0.010055855696027915,1.902461324404313,,,
ISIS,GICS_35,CAPM,0.01837702396870884,1.664854998165052,,,
LCI,GICS_35,CAPM,-0.011857226684503728,1.1881211606705289,,,
BIIB,GICS_35,CAPM,0.003960476188276121,0.5120470541441856,,,
ARWR,GICS_35,CAPM,0.015691728188516087,1.649065244808364,,,
DEPO,GICS_35,CAPM,0.005446103822734529,1.391530792696971,,,
WLP,GICS_35,CAPM,0.009553368367050516,0.5512048119745454,,,
SNT,GICS_35,CAPM,-0.012692107127582872,1.1426237073813958,,,
SNY,GICS_35,CAPM,-0.0014343456197608308,0.6119424862627703,,,
