ticker,sector,model,intercept,coef_1,coef_2,coef_3,coef_4
GM,GICS_25,Carhart,-0.0162,1.267268,0.227909,0.707629,0.046157
Z,GICS_25,Carhart,0.016456,1.40871,-0.187902,1.686054,-0.156686
TRY,GICS_25,Carhart,-0.004566,0.632315,0.509339,0.730995,-0.140201
F,GICS_25,Carhart,-0.000339,1.070397,0.290045,0.580743,-0.968233
DG,GICS_25,Carhart,0.008005,0.722469,0.067849,-0.104267,0.116775
WH,GICS_25,Carhart,-0.02333,1.160112,0.269575,0.606505,0.092417
MAT,GICS_25,Carhart,0.002568,0.629523,0.280221,0.770939,-0.279971
TJX,GICS_25,Carhart,0.01175,0.7426,-0.287551,0.28734,-0.048585
DOL,GICS_25,Carhart,0.003441,0.798683,-0.170333,0.498513,0.036061
H,GICS_25,Carhart,0.002242,1.17279,0.208737,0.648646,0.011586
MCD,GICS_25,Carhart,0.006095,0.744758,-0.58331,0.204378,0.109376
VFC,GICS_25,Carhart,0.008557,0.878859,-0.080813,0.562836,-0.016703
TGT,GICS_25,Carhart,0.006123,0.75726,-0.177213,0.28901,-0.296328
HRB,GICS_25,Carhart,0.000613,0.767088,0.114746,0.572528,0.54154
SNE,GICS_25,Carhart,-0.004256,1.195484,0.434681,-0.151263,0.022908
PIR,GICS_25,Carhart,0.005747,1.537491,2.496559,2.377064,-1.789019
HAS,GICS_25,Carhart,0.005353,0.85881,0.072194,0.197736,-0.078495
NKE,GICS_25,Carhart,0.012235,0.78897,-0.602596,0.351539,-0.075497
GPS,GICS_25,Carhart,-0.001708,1.01885,0.461964,0.283926,-0.444929
HMC,GICS_25,Carhart,-1.9e-05,0.689899,0.045626,0.300286,-0.105728
LOW,GICS_25,Carhart,0.006163,1.088478,0.091326,0.333347,0.037084
WEN,GICS_25,Carhart,0.007212,0.925399,-0.219605,0.506532,0.214221
HD,GICS_25,Carhart,0.002546,1.013559,0.024807,0.189527,0.031596
HDI,GICS_25,Carhart,0.01016,0.906113,-0.00729,0.061641,-0.213869
CCL,GICS_25,Carhart,-0.003602,1.175269,0.136516,0.945213,-0.220903
LE,GICS_25,Carhart,0.018269,1.840198,0.542874,1.629305,-0.763663
AZO,GICS_25,Carhart,0.012619,0.549625,-0.114618,0.302182,0.053032
TM,GICS_25,Carhart,0.00067,0.617692,-0.097754,0.168043,-0.154762
FD,GICS_25,Carhart,0.001992,1.119789,0.264435,0.61219,-0.465302
BBBY,GICS_25,Carhart,-0.000609,1.054877,0.358561,0.719118,-0.241869
SBUX,GICS_25,Carhart,0.012437,0.722698,0.445588,0.1609,-0.125808
CAKE,GICS_25,Carhart,0.003409,1.049905,0.397227,0.55187,-0.306918
ORLY,GICS_25,Carhart,0.012183,0.811977,0.019267,0.230249,0.221022
PZZA,GICS_25,Carhart,0.009777,0.615984,-0.057025,0.057511,-0.013892
BWA,GICS_25,Carhart,0.0057,1.21161,0.080812,0.467786,-0.270953
URBN,GICS_25,Carhart,0.008303,1.071375,0.423426,1.012382,-0.053172
AEOS,GICS_25,Carhart,0.030154,2.131618,-0.482475,0.361966,-0.471091
DOM,GICS_25,Carhart,-0.002963,0.237296,0.337204,0.155368,-0.224416
DLTR,GICS_25,Carhart,0.01023,0.583717,-0.013947,-0.190158,-0.466068
WSM,GICS_25,Carhart,0.004819,1.219095,0.68034,0.471694,-0.279065
ANF,GICS_25,Carhart,0.002928,1.408587,0.21152,0.19416,-0.331178
HIBB,GICS_25,Carhart,0.008923,1.137097,0.631721,0.539016,0.087998
KMX,GICS_25,Carhart,0.017193,1.537612,0.141045,0.473288,0.030306
AMZN,GICS_25,Carhart,0.016407,1.475147,-0.230288,-1.377402,-0.221901
YUM,GICS_25,Carhart,0.009634,0.750475,-0.043605,0.210074,-0.057578
MAR,GICS_25,Carhart,0.005949,1.103973,0.186911,0.60762,-0.482046
BBY,GICS_25,Carhart,0.008474,1.37858,0.316661,-0.425457,-0.488622
PPE,GICS_25,Carhart,-0.017735,1.067051,0.759282,1.200369,-0.129906
LOOK,GICS_25,Carhart,-0.000848,0.944348,1.225974,-1.762538,-1.010477
DW,GICS_25,Carhart,0.012361,1.045454,0.923309,1.006213,-0.270125
AKRN,GICS_35,FF3,0.066709,1.186538,0.058147,-1.755433,
RGEN,GICS_35,FF3,0.023492,0.880811,1.988278,-1.851244,
AVAN,GICS_35,FF3,0.020156,1.125878,3.200721,-1.408947,
ADPT,GICS_35,FF3,-0.012737,1.273782,0.432804,-1.012117,
AVM,GICS_35,FF3,0.033587,0.47445,2.022001,0.227576,
KOOL,GICS_35,FF3,-0.010918,1.019615,0.788443,0.6177,
CELG,GICS_35,FF3,0.01975,0.527193,1.663246,-0.807894,
LH,GICS_35,FF3,0.01072,0.477656,0.246302,0.571651,
AMGN,GICS_35,FF3,0.004508,0.623135,-0.046841,-0.288517,
SNSTA,GICS_35,FF3,0.023453,0.623183,-0.250649,0.245906,
CVS,GICS_35,FF3,0.003881,0.726629,-0.231228,0.415058,
BMY,GICS_35,FF3,0.002096,0.626811,-0.444276,0.115613,
ABT,GICS_35,FF3,0.008185,0.522723,-0.436136,-0.101838,
CAH,GICS_35,FF3,0.002752,0.690824,-0.245223,0.303587,
PFE,GICS_35,FF3,0.001187,0.663445,-0.406796,0.150986,
JNJ,GICS_35,FF3,0.004987,0.521031,-0.431044,0.081068,
MRK,GICS_35,FF3,0.003686,0.592335,-0.768084,-0.069931,
CHRS,GICS_35,FF3,0.011326,1.842075,0.910933,0.986063,
BAX,GICS_35,FF3,0.006357,0.604998,-0.372743,0.117836,
ELN,GICS_35,FF3,0.018035,1.238363,0.19282,-0.396296,
BDX,GICS_35,FF3,0.00743,0.546578,0.123414,-0.014132,
HCSG,GICS_35,FF3,0.013122,0.112195,0.780268,0.679998,
DHR,GICS_35,FF3,0.009263,0.859124,-0.222394,0.031628,
LLY,GICS_35,FF3,0.005566,0.491561,-0.344811,-0.048883,
AFL,GICS_35,FF3,0.003743,1.111994,-0.455736,0.909837,
MDT,GICS_35,FF3,0.003039,0.680809,-0.135662,0.079619,
WST,GICS_35,FF3,0.012207,0.729795,0.244265,0.222179,
COO,GICS_35,FF3,0.011963,0.570417,0.14823,0.190327,
STAA,GICS_35,FF3,0.017824,1.174817,1.074838,0.104463,
ABMD,GICS_35,FF3,0.016405,0.964711,1.12478,-0.497349,
AGN,GICS_35,FF3,0.006869,0.732597,-0.176785,0.000937,
IMGN,GICS_35,FF3,0.010662,1.519171,1.95092,-1.002031,
QDEL,GICS_35,FF3,0.01634,0.675448,1.151555,-0.474264,
REGN,GICS_35,FF3,0.023753,0.518407,3.850942,-1.399281,
ISIP,GICS_35,FF3,0.096927,0.483814,1.426237,-1.637287,
IDXX,GICS_35,FF3,0.016884,0.55935,1.039744,-0.258441,
ALKS,GICS_35,FF3,0.005691,0.825945,2.557609,-0.887986,
VRTX,GICS_35,FF3,0.014771,0.832819,0.950107,-1.164966,
IDPH,GICS_35,FF3,0.027794,0.265246,0.887815,-1.174617,
PRGO,GICS_35,FF3,0.006532,0.717925,-0.108347,0.278844,
GILD,GICS_35,FF3,0.01368,0.572688,0.668712,-0.617792,
